account,date,fraud,merchant
A0,2015-01-01,False,M98
A0,2015-01-01,False,M50
A0,2015-01-01,False,M55
A0,2015-01-01,False,M14
A0,2015-01-01,False,M10
A0,2015-01-01,False,M33
A0,2015-01-01,False,M82
A1,2015-01-01,False,M42
A1,2015-01-01,False,M98
A1,2015-01-01,False,M22
A1,2015-01-01,False,M44
A2,2015-01-01,False,M52
A2,2015-01-01,False,M26
A2,2015-01-01,False,M59
A2,2015-01-01,False,M48
A3,2015-01-01,False,M83
A3,2015-01-01,False,M23
A3,2015-01-01,True,M50
A4,2015-01-01,False,M72
A4,2015-01-01,False,M21
A5,2015-01-01,False,M85
A5,2015-01-01,False,M57
A5,2015-01-01,False,M49
A5,2015-01-01,False,M70
A6,2015-01-01,False,M6
A6,2015-01-01,False,M91
A6,2015-01-01,False,M64
A6,2015-01-01,False,M88
A7,2015-01-01,False,M67
A7,2015-01-01,False,M69
A8,2015-01-01,False,M46
A8,2015-01-01,False,M51
A10,2015-01-01,False,M12
A10,2015-01-01,False,M83
A11,2015-01-01,False,M30
A11,2015-01-01,False,M90
A11,2015-01-01,False,M98
A11,2015-01-01,False,M63
A11,2015-01-01,False,M32
A12,2015-01-01,False,M86
A12,2015-01-01,False,M41
A12,2015-01-01,False,M96
A12,2015-01-01,False,M89
A13,2015-01-01,False,M6
A13,2015-01-01,False,M28
A14,2015-01-01,False,M67
A14,2015-01-01,False,M83
A15,2015-01-01,False,M93
A15,2015-01-01,False,M42
A15,2015-01-01,False,M88
A15,2015-01-01,False,M24
A16,2015-01-01,False,M15
A16,2015-01-01,False,M26
A17,2015-01-01,False,M92
A18,2015-01-01,False,M51
A18,2015-01-01,False,M19
A18,2015-01-01,False,M84
A18,2015-01-01,False,M69
A19,2015-01-01,False,M56
A19,2015-01-01,False,M60
A20,2015-01-01,False,M6
A20,2015-01-01,False,M31
A20,2015-01-01,False,M4
A20,2015-01-01,False,M82
A21,2015-01-01,False,M32
A21,2015-01-01,False,M93
A21,2015-01-01,False,M69
A22,2015-01-01,False,M57
A22,2015-01-01,False,M58
A22,2015-01-01,False,M77
A23,2015-01-01,False,M32
A23,2015-01-01,False,M26
A23,2015-01-01,False,M9
A23,2015-01-01,False,M76
A24,2015-01-01,False,M51
A24,2015-01-01,False,M90
A24,2015-01-01,False,M29
A24,2015-01-01,False,M49
A24,2015-01-01,False,M0
A24,2015-01-01,False,M38
A24,2015-01-01,False,M3
A24,2015-01-01,False,M71
A25,2015-01-01,False,M51
A26,2015-01-01,True,M10
A26,2015-01-01,False,M82
A26,2015-01-01,False,M80
A27,2015-01-01,False,M11
A27,2015-01-01,False,M45
A27,2015-01-01,False,M56
A27,2015-01-01,False,M98
A27,2015-01-01,False,M10
A28,2015-01-01,False,M79
A28,2015-01-01,False,M70
A29,2015-01-01,False,M89
A29,2015-01-01,True,M94
A29,2015-01-01,False,M40
A30,2015-01-01,False,M22
A30,2015-01-01,False,M93
A30,2015-01-01,False,M27
A30,2015-01-01,False,M76
A30,2015-01-01,False,M70
A31,2015-01-01,False,M9
A31,2015-01-01,False,M81
A31,2015-01-01,False,M55
A32,2015-01-01,False,M74
A32,2015-01-01,False,M83
A33,2015-01-01,False,M14
A34,2015-01-01,False,M28
A34,2015-01-01,False,M58
A34,2015-01-01,False,M44
A34,2015-01-01,False,M11
A34,2015-01-01,False,M56
A34,2015-01-01,False,M72
A34,2015-01-01,False,M13
A35,2015-01-01,False,M37
A35,2015-01-01,False,M12
A35,2015-01-01,False,M18
A35,2015-01-01,False,M97
A36,2015-01-01,False,M18
A36,2015-01-01,False,M45
A36,2015-01-01,False,M48
A36,2015-01-01,False,M93
A36,2015-01-01,False,M62
A36,2015-01-01,False,M14
A36,2015-01-01,False,M60
A36,2015-01-01,False,M36
A37,2015-01-01,False,M98
A37,2015-01-01,False,M44
A37,2015-01-01,False,M1
A37,2015-01-01,False,M14
A38,2015-01-01,False,M16
A38,2015-01-01,False,M6
A38,2015-01-01,False,M44
A39,2015-01-01,False,M26
A39,2015-01-01,False,M85
A39,2015-01-01,False,M75
A39,2015-01-01,False,M77
A40,2015-01-01,False,M98
A40,2015-01-01,False,M23
A40,2015-01-01,False,M74
A40,2015-01-01,False,M59
A40,2015-01-01,False,M1
A41,2015-01-01,False,M46
A42,2015-01-01,False,M15
A42,2015-01-01,False,M13
A43,2015-01-01,False,M89
A43,2015-01-01,False,M79
A43,2015-01-01,False,M11
A43,2015-01-01,False,M76
A44,2015-01-01,False,M79
A44,2015-01-01,False,M24
A44,2015-01-01,False,M10
A44,2015-01-01,False,M77
A45,2015-01-01,False,M34
A45,2015-01-01,False,M14
A45,2015-01-01,False,M96
A45,2015-01-01,False,M26
A46,2015-01-01,False,M20
A46,2015-01-01,False,M76
A46,2015-01-01,False,M5
A46,2015-01-01,False,M56
A47,2015-01-01,False,M0
A47,2015-01-01,False,M7
A47,2015-01-01,False,M48
A47,2015-01-01,False,M55
A47,2015-01-01,False,M34
A47,2015-01-01,False,M37
A48,2015-01-01,False,M50
A48,2015-01-01,False,M3
A48,2015-01-01,False,M30
A49,2015-01-01,False,M22
A49,2015-01-01,False,M53
A49,2015-01-01,False,M45
A49,2015-01-01,False,M78
A49,2015-01-01,False,M27
A51,2015-01-01,False,M66
A51,2015-01-01,False,M2
A51,2015-01-01,False,M43
A51,2015-01-01,False,M63
A51,2015-01-01,False,M6
A51,2015-01-01,False,M45
A52,2015-01-01,False,M83
A52,2015-01-01,False,M74
A53,2015-01-01,False,M79
A53,2015-01-01,False,M36
A53,2015-01-01,False,M46
A53,2015-01-01,False,M16
A53,2015-01-01,False,M43
A53,2015-01-01,False,M51
A54,2015-01-01,False,M31
A54,2015-01-01,False,M95
A55,2015-01-01,False,M27
A55,2015-01-01,False,M31
A56,2015-01-01,False,M78
A56,2015-01-01,False,M35
A56,2015-01-01,False,M28
A56,2015-01-01,False,M42
A56,2015-01-01,False,M5
A57,2015-01-01,False,M60
A57,2015-01-01,False,M43
A58,2015-01-01,False,M89
A59,2015-01-01,False,M36
A59,2015-01-01,False,M95
A59,2015-01-01,False,M39
A59,2015-01-01,False,M51
A59,2015-01-01,False,M0
A60,2015-01-01,False,M10
A60,2015-01-01,False,M96
A60,2015-01-01,False,M12
A60,2015-01-01,False,M35
A61,2015-01-01,False,M61
A61,2015-01-01,False,M94
A62,2015-01-01,False,M70
A63,2015-01-01,False,M5
A63,2015-01-01,False,M80
A63,2015-01-01,False,M23
A63,2015-01-01,False,M97
A63,2015-01-01,False,M83
A64,2015-01-01,False,M26
A64,2015-01-01,False,M43
A64,2015-01-01,False,M19
A65,2015-01-01,False,M64
A65,2015-01-01,False,M42
A65,2015-01-01,False,M22
A65,2015-01-01,False,M55
A66,2015-01-01,False,M87
A66,2015-01-01,False,M87
A66,2015-01-01,False,M47
A67,2015-01-01,False,M0
A67,2015-01-01,False,M1
A67,2015-01-01,False,M91
A67,2015-01-01,False,M25
A67,2015-01-01,False,M62
A68,2015-01-01,False,M67
A68,2015-01-01,False,M16
A68,2015-01-01,False,M26
A68,2015-01-01,False,M36
A69,2015-01-01,False,M3
A71,2015-01-01,False,M14
